,text_name,target,feature_type,model,MAE,MSE,RMSE,r2_score
0,summary,lemmatization,count,Linear,113.88420253645401,31916.44245917056,178.65173511379777,-839.8975023579007
1,summary,lemmatization,count,Ridge,4.918961249943234,50.94320017535637,7.137450537506818,-0.3421925029513144
2,summary,lemmatization,count,Lasso,3.945585318106248,37.95644470466976,6.160880189118252,-3.2493952712098206e-05
3,summary,lemmatization,count,Polynomial,113.88420253645401,31916.44245917056,178.65173511379777,-839.8975023579007
4,summary,lemmatization,count,ElasticNet,3.945585318106248,37.95644470466976,6.160880189118252,-3.2493952712098206e-05
5,summary,lemmatization,tfidf_word,Linear,20.978776040388368,1425.2444349227756,37.752409657169906,-40.296332799644595
6,summary,lemmatization,tfidf_word,Ridge,3.876375658695928,33.86998694725754,5.819792689371121,0.01862009166915124
7,summary,lemmatization,tfidf_word,Lasso,3.927417540433134,34.52105012913294,5.875461694976229,-0.00024440706069572826
8,summary,lemmatization,tfidf_word,Polynomial,20.978776040388368,1425.2444349227756,37.752409657169906,-40.296332799644595
9,summary,lemmatization,tfidf_word,ElasticNet,3.927417540433134,34.52105012913294,5.875461694976229,-0.00024440706069572826
10,summary,lemmatization,tfidf_ngram,Linear,10.655628144034551,210.87079353279967,14.521390895255168,-5.16531911039231
11,summary,lemmatization,tfidf_ngram,Ridge,3.9461741497771117,35.11235631281952,5.925568016048716,-0.026594900884926442
12,summary,lemmatization,tfidf_ngram,Lasso,3.9443892566368652,34.211614554453384,5.849069546043489,-0.00025953085408669807
13,summary,lemmatization,tfidf_ngram,Polynomial,10.655628144034551,210.87079353279967,14.521390895255168,-5.16531911039231
14,summary,lemmatization,tfidf_ngram,ElasticNet,3.9443892566368652,34.211614554453384,5.849069546043489,-0.00025953085408669807
15,summary,lemmatization,tfidf_ngram_chars,Linear,34.38794510794258,3885.523077411028,62.33396407586339,-135.38526485813955
16,summary,lemmatization,tfidf_ngram_chars,Ridge,3.687205328499029,27.126723274595772,5.208332101027715,0.04782824221331139
17,summary,lemmatization,tfidf_ngram_chars,Lasso,3.835248885183578,28.584055741479265,5.346405871375579,-0.0033254044186645793
18,summary,lemmatization,tfidf_ngram_chars,Polynomial,34.38794510794258,3885.523077411028,62.33396407586339,-135.38526485813955
19,summary,lemmatization,tfidf_ngram_chars,ElasticNet,3.835248885183578,28.584055741479265,5.346405871375579,-0.0033254044186645793
