,text_name,target,feature_type,model,MAE,MSE,RMSE,r2_score
0,access,lemmatization,count,Linear,7.5906270421814135,175.72602309550777,13.256169246637874,-4.482515331577562
1,access,lemmatization,count,Ridge,4.141274412893211,34.54876458211504,5.877819713304844,-0.07789460076475008
2,access,lemmatization,count,Lasso,3.9423440707335855,32.08696264483129,5.664535518895727,-0.0010882938404197517
3,access,lemmatization,count,Polynomial,7.5906270421814135,175.72602309550777,13.256169246637874,-4.482515331577562
4,access,lemmatization,count,ElasticNet,3.9423440707335855,32.08696264483129,5.664535518895727,-0.0010882938404197517
5,access,lemmatization,tfidf_word,Linear,5.974319474319395,86.78557198025334,9.31587741333329,-1.1876532220279215
6,access,lemmatization,tfidf_word,Ridge,3.895410001006134,38.404645420269475,6.197148168332711,0.031912282451639795
7,access,lemmatization,tfidf_word,Lasso,4.0228901768754675,39.676108233379885,6.298897382350334,-0.00013820308785250646
8,access,lemmatization,tfidf_word,Polynomial,5.974319474319395,86.78557198025334,9.31587741333329,-1.1876532220279215
9,access,lemmatization,tfidf_word,ElasticNet,4.0228901768754675,39.676108233379885,6.298897382350334,-0.00013820308785250646
10,access,lemmatization,tfidf_ngram,Linear,8.906253325742126,221.8419536442883,14.894359793032002,-5.2366767783145
11,access,lemmatization,tfidf_ngram,Ridge,3.879605574536011,33.75887117167718,5.810238478038331,0.05093169060301117
12,access,lemmatization,tfidf_ngram,Lasso,4.001044549788679,35.59239594103799,5.9659363004509185,-0.0006144717151974621
13,access,lemmatization,tfidf_ngram,Polynomial,8.906253325742126,221.8419536442883,14.894359793032002,-5.2366767783145
14,access,lemmatization,tfidf_ngram,ElasticNet,4.001044549788679,35.59239594103799,5.9659363004509185,-0.0006144717151974621
15,access,lemmatization,tfidf_ngram_chars,Linear,19.37365990412866,1454.7905673164437,38.14171688999387,-42.35722135521322
16,access,lemmatization,tfidf_ngram_chars,Ridge,3.8169158768269296,32.97208048313555,5.742132050304621,0.017330862485407827
17,access,lemmatization,tfidf_ngram_chars,Lasso,3.874121675032284,33.566407650115195,5.793652358410469,-0.00038191013978616795
18,access,lemmatization,tfidf_ngram_chars,Polynomial,19.37365990412866,1454.7905673164437,38.14171688999387,-42.35722135521322
19,access,lemmatization,tfidf_ngram_chars,ElasticNet,3.874121675032284,33.566407650115195,5.793652358410469,-0.00038191013978616795
