,text_name,target,feature_type,model,MAE,MSE,RMSE,r2_score
0,interaction,lemmatization,count,Linear,6.494674030080024,106.79776008545792,10.334300173957496,-1.8379790937195661
1,interaction,lemmatization,count,Ridge,4.1608827995367825,39.742576287951145,6.304171340307237,-0.0560951891267063
2,interaction,lemmatization,count,Lasso,3.939319857031525,37.63465483434499,6.134709026053721,-8.055912182314273e-05
3,interaction,lemmatization,count,Polynomial,6.494674030080024,106.79776008545792,10.334300173957496,-1.8379790937195661
4,interaction,lemmatization,count,ElasticNet,3.939319857031525,37.63465483434499,6.134709026053721,-8.055912182314273e-05
5,interaction,lemmatization,tfidf_word,Linear,5.297623962417309,63.03789034535606,7.93964044181826,-0.9427713821514649
6,interaction,lemmatization,tfidf_word,Ridge,3.8140169881414803,30.285788635588283,5.503252550591176,0.0666190901256336
7,interaction,lemmatization,tfidf_word,Lasso,3.9599269664272354,32.455623831345214,5.696983748558988,-0.0002532893148394777
8,interaction,lemmatization,tfidf_word,Polynomial,5.297623962417309,63.03789034535606,7.93964044181826,-0.9427713821514649
9,interaction,lemmatization,tfidf_word,ElasticNet,3.9599269664272354,32.455623831345214,5.696983748558988,-0.0002532893148394777
10,interaction,lemmatization,tfidf_ngram,Linear,14.323215841477685,697.7793750060229,26.415513907664618,-19.410586709781402
11,interaction,lemmatization,tfidf_ngram,Ridge,3.7926162547436686,32.4202638902779,5.693879511394485,0.05168219212440839
12,interaction,lemmatization,tfidf_ngram,Lasso,3.936442972755493,34.18851810391179,5.847094843074789,-4.0612024108321876e-05
13,interaction,lemmatization,tfidf_ngram,Polynomial,14.323215841477685,697.7793750060229,26.415513907664618,-19.410586709781402
14,interaction,lemmatization,tfidf_ngram,ElasticNet,3.936442972755493,34.18851810391179,5.847094843074789,-4.0612024108321876e-05
15,interaction,lemmatization,tfidf_ngram_chars,Linear,14.236542564249751,792.6063384458326,28.153265147151807,-18.336603094503047
16,interaction,lemmatization,tfidf_ngram_chars,Ridge,3.9264342247072457,39.33718829895361,6.271936566878974,0.04032107731803247
17,interaction,lemmatization,tfidf_ngram_chars,Lasso,4.02234078069324,41.03740499057233,6.40604441059944,-0.0011577927663846133
18,interaction,lemmatization,tfidf_ngram_chars,Polynomial,14.236542564249751,792.6063384458326,28.153265147151807,-18.336603094503047
19,interaction,lemmatization,tfidf_ngram_chars,ElasticNet,4.02234078069324,41.03740499057233,6.40604441059944,-0.0011577927663846133
