,vectorizer_key,model_key,accuracy,roc_auc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
0,count,LogisticRegression,0.599572877736252,0.5907139964126599,0.6371115173674589,0.6638095238095238,0.6501865671641791,0.5468549422336328,0.5176184690157959,0.5318352059925093
1,count,MultinomialNB,0.6385477843032568,0.6397922814326217,0.6965226554267651,0.6295238095238095,0.6613306653326663,0.579004329004329,0.6500607533414338,0.6124785346307956
2,count,SVM,0.6433529097704218,0.6224064109240294,0.6482919254658385,0.7952380952380952,0.7142857142857143,0.6324786324786325,0.44957472660996356,0.5255681818181819
3,tfidf_word,LogisticRegression,0.6465563267485318,0.6328060234435424,0.6658163265306123,0.7442965779467681,0.7028725314183124,0.6140602582496413,0.5213154689403167,0.5638998682476943
4,tfidf_word,MultinomialNB,0.6465563267485318,0.6291953613093556,0.6585365853658537,0.7699619771863118,0.7099035933391762,0.6236391912908242,0.4884287454323995,0.5478142076502732
5,tfidf_word,SVM,0.6433529097704218,0.6310241382344631,0.6663778162911612,0.7309885931558935,0.6971894832275611,0.6063977746870653,0.5310596833130329,0.5662337662337662
6,tfidf_ngram,LogisticRegression,0.595835557928457,0.582682950910765,0.603047313552526,0.7416173570019724,0.6651923927465724,0.5814696485623003,0.42374854481955765,0.49023569023569025
7,tfidf_ngram,MultinomialNB,0.5920982381206621,0.5960476495535151,0.6450116009280742,0.5483234714003945,0.5927505330490405,0.5469831849653808,0.6437718277066357,0.5914438502673797
8,tfidf_ngram,SVM,0.594233849439402,0.581470587559958,0.6025848142164781,0.7357001972386588,0.6625222024866785,0.5779527559055118,0.42724097788125726,0.4912985274431058
9,tfidf_ngram_chars,LogisticRegression,0.6214628937533369,0.6047487322942416,0.632636655948553,0.7574590952839269,0.6894437144108628,0.5993640699523053,0.4520383693045564,0.5153793574846206
10,tfidf_ngram_chars,MultinomialNB,0.6225306994127069,0.5951835259415182,0.6165730337078652,0.8450433108758422,0.7129516849370686,0.6414253897550112,0.34532374100719426,0.44894777864380364
11,tfidf_ngram_chars,SVM,0.6321409503470369,0.6166208515382111,0.6427406199021207,0.7584215591915303,0.6958057395143488,0.6120556414219475,0.4748201438848921,0.5347738014854828
12,count,ComplementNB,0.6374799786438868,0.6367245700758895,0.6941896024464832,0.6424528301886793,0.6673199412052916,0.5751121076233184,0.6309963099630996,0.6017595307917889
13,tfidf_word,ComplementNB,0.6182594767752269,0.6147130318285718,0.652046783625731,0.6514118792599806,0.6517291768144179,0.577331759149941,0.5780141843971631,0.5776727702303603
14,tfidf_ngram,ComplementNB,0.5856914041644421,0.6034513776449261,0.7018633540372671,0.4362934362934363,0.5380952380952381,0.5248169243287225,0.7706093189964157,0.6243949661181025
15,tfidf_ngram_chars,ComplementNB,0.6187933796049119,0.6088778893137267,0.6464826357969724,0.6960690316395014,0.670360110803324,0.5773333333333334,0.5216867469879518,0.5481012658227848
