,vectorizer_key,model_key,accuracy,roc_auc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1
4,tfidf_word,MultinomialNB,0.6465563267485318,0.6291953613093556,0.6585365853658537,0.7699619771863118,0.7099035933391762,0.6236391912908242,0.4884287454323995,0.5478142076502732
5,tfidf_word,SVM,0.6433529097704218,0.6310241382344631,0.6663778162911612,0.7309885931558935,0.6971894832275611,0.6063977746870653,0.5310596833130329,0.5662337662337662
3,tfidf_word,LogisticRegression,0.6465563267485318,0.6328060234435424,0.6658163265306123,0.7442965779467681,0.7028725314183124,0.6140602582496413,0.5213154689403167,0.5638998682476943
12,count,ComplementNB,0.6374799786438868,0.6367245700758895,0.6941896024464832,0.6424528301886793,0.6673199412052916,0.5751121076233184,0.6309963099630996,0.6017595307917889
1,count,MultinomialNB,0.6385477843032568,0.6397922814326217,0.6965226554267651,0.6295238095238095,0.6613306653326663,0.579004329004329,0.6500607533414338,0.6124785346307956
