,wordCount,charNum,avgWordLen,stopWords,numeric_num,noun_count,verb_count,adj_count,adv_count,pron_count,host_listings_count,host_total_listings_count,price,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,number_of_reviews_ltm,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,summary_sentiment_neg,summary_sentiment_neu,summary_sentiment_pos,summary_sentiment_compound,space_sentiment_neg,space_sentiment_neu,space_sentiment_pos,space_sentiment_compound,description_sentiment_neg,description_sentiment_neu,description_sentiment_pos,description_sentiment_compound,neighborhood_overview_sentiment_neg,neighborhood_overview_sentiment_neu,neighborhood_overview_sentiment_pos,neighborhood_overview_sentiment_compound,notes_sentiment_neg,notes_sentiment_neu,notes_sentiment_pos,notes_sentiment_compound,transit_sentiment_neg,transit_sentiment_neu,transit_sentiment_pos,transit_sentiment_compound,access_sentiment_neg,access_sentiment_neu,access_sentiment_pos,access_sentiment_compound,interaction_sentiment_neg,interaction_sentiment_neu,interaction_sentiment_pos,interaction_sentiment_compound,house_rules_sentiment_neg,house_rules_sentiment_neu,house_rules_sentiment_pos,house_rules_sentiment_compound,host_about_sentiment_neg,host_about_sentiment_neu,host_about_sentiment_pos,host_about_sentiment_compound
8045,51.0,337.0,6.6078431372549025,0.0,1.0,25.0,9.0,11.0,4.0,0.0,2.0,2.0,110.0,100.0,50.0,2.0,10.0,10.0,10.0,1.0,1.0,0.0,0.0,0.0,0.78,0.22,0.9477,0.0,0.0,0.0,0.0,0.0,0.7959999999999999,0.204,0.9732,0.0,0.8270000000000001,0.17300000000000001,0.7845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8046,64.0,410.0,6.40625,0.0,3.0,30.0,12.0,10.0,5.0,0.0,1.0,1.0,35.0,0.0,15.0,1.0,0.0,23.0,23.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7959999999999999,0.204,0.6249,0.036000000000000004,0.875,0.09,0.8268,0.032,0.865,0.10300000000000001,0.6997,0.0,0.0,0.0,0.0,0.078,0.922,0.0,-0.29600000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8047,37.0,215.0,5.8108108108108105,0.0,0.0,23.0,5.0,6.0,1.0,0.0,7.0,7.0,55.0,300.0,12.0,2.0,200.0,7.0,7.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685,0.315,0.3182,0.0,0.0,0.0,0.0
8048,16.0,84.0,5.25,0.0,0.0,7.0,1.0,4.0,0.0,0.0,1.0,1.0,35.0,0.0,0.0,2.0,10.0,6.0,6.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.895,0.105,0.5106,0.031,0.9229999999999999,0.046,0.2732,0.0,1.0,0.0,0.0,0.239,0.7609999999999999,0.0,-0.29600000000000004,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7809999999999999,0.21899999999999997,0.4215
8049,2.0,10.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,30.0,0.0,0.0,1.0,0.0,11.0,11.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912,0.08800000000000001,0.4215,0.0,0.76,0.24,0.8858
8050,29.0,179.0,6.172413793103447,0.0,0.0,14.0,9.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,40.0,2.0,20.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.635,0.365,0.9907,0.0,0.644,0.35600000000000004,0.9858,0.0,0.627,0.373,0.9981,0.0,0.713,0.287,0.9442,0.0,0.6679999999999999,0.332,0.9246,0.0,0.8540000000000001,0.146,0.7895,0.0,0.7829999999999999,0.217,0.9670000000000001,0.0,0.784,0.21600000000000003,0.8553,0.0,0.0,0.0,0.0,0.0,0.7509999999999999,0.249,0.9057
8051,18.0,104.0,5.777777777777778,0.0,1.0,4.0,5.0,5.0,2.0,0.0,1.0,1.0,100.0,0.0,20.0,1.0,0.0,9.0,9.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.645,0.0,-0.5267,0.0,0.736,0.264,0.5562
8052,155.0,858.0,5.5354838709677425,4.0,0.0,66.0,26.0,42.0,13.0,0.0,0.0,0.0,65.0,0.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.823,0.177,0.802,0.0,0.0,0.0,0.0,0.0,0.843,0.157,0.802,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8053,22.0,168.0,7.636363636363638,0.0,0.0,13.0,3.0,4.0,1.0,0.0,1.0,1.0,100.0,0.0,40.0,2.0,15.0,14.0,14.0,1.0,1.0,0.0,0.0,0.0,0.958,0.042,0.5719,0.0,0.8370000000000001,0.163,0.6688,0.0,0.9329999999999999,0.067,0.8475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.526,0.474,0.6597,0.0,0.303,0.6970000000000001,0.7845
8054,25.0,180.0,7.2,0.0,0.0,11.0,4.0,8.0,2.0,0.0,0.0,0.0,86.0,0.0,20.0,1.0,0.0,26.0,26.0,1.0,1.0,0.0,0.0,0.0,0.857,0.14300000000000002,0.8934,0.0,0.49200000000000005,0.508,0.7351,0.0,0.894,0.106,0.9509,0.0,1.0,0.0,0.0,0.0,0.905,0.095,0.3182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7090000000000001,0.29100000000000004,0.5719
